pozo,instancia,t_min,p_antes_choke,p_arbol,p_anular,p_gaslift,t_despues_choke,etiqueta
WELL-00001,WELL-00001_20170226130146,13.0,53.38527,133.2123,144.4509,33.83038,74.20395,normal
WELL-00001,WELL-00001_20170226130146,13.5,53.5419,133.2,144.4642,33.83051,74.23842,normal
WELL-00001,WELL-00001_20170226130146,14.0,53.72274,133.1878,144.4776,33.83063,74.27288,normal
WELL-00001,WELL-00001_20170226130146,14.5,53.70767,133.1756,144.4909,33.83075,74.30735,normal
WELL-00001,WELL-00001_20170226130146,15.0,53.65342,133.1634,144.5042,33.83087,74.21482,normal
WELL-00001,WELL-00001_20170226130146,15.5,52.66049,133.1512,144.5176,33.83099,74.10276,normal
WELL-00001,WELL-00001_20170226130146,16.0,53.13008,133.139,144.5309,33.83111,74.09674,normal
WELL-00001,WELL-00001_20170226130146,16.5,53.53889,133.1268,144.5442,33.83123,74.11193,normal
WELL-00001,WELL-00001_20170226130146,17.0,53.64378,133.1145,144.5576,33.83135,74.19991,normal
WELL-00001,WELL-00001_20170226130146,17.5,53.22121,133.1023,144.5709,33.83147,74.30245,normal
WELL-00001,WELL-00001_20170226130146,18.0,52.88912,133.0901,144.5842,33.8316,74.24795,normal
WELL-00001,WELL-00001_20170226130146,18.5,53.10257,133.0779,144.5975,33.83172,74.16203,normal
WELL-00001,WELL-00001_20170226130146,19.0,53.11234,133.0657,144.6109,33.83184,74.14025,normal
WELL-00001,WELL-00001_20170226130146,19.5,53.07118,133.1468,144.6242,33.83196,74.13451,normal
WELL-00001,WELL-00001_20170226130146,20.0,53.34626,133.2465,144.6111,33.83208,74.12876,normal
WELL-00001,WELL-00001_20170226130146,20.5,53.66999,133.1814,144.5114,33.8322,74.12302,normal
WELL-00001,WELL-00001_20170226130146,21.0,53.62318,133.0833,144.4582,33.83232,74.16485,normal
WELL-00001,WELL-00001_20170226130146,21.5,53.50225,133.1462,144.5579,33.83244,74.2162,normal
WELL-00001,WELL-00001_20170226130146,22.0,53.38132,133.2494,144.6344,33.83257,74.22941,normal
WELL-00001,WELL-00001_20170226130146,22.5,53.26039,133.2058,144.6344,33.83269,74.19903,normal
WELL-00001,WELL-00001_20170226130146,23.0,53.19675,133.1397,144.6344,33.83281,74.21949,normal
WELL-00001,WELL-00001_20170226130146,23.5,53.19857,133.0736,144.6344,33.83293,74.29807,normal
WELL-00001,WELL-00001_20170226130146,24.0,53.20039,133.0074,144.6344,33.83305,74.2909,normal
WELL-00001,WELL-00001_20170226130146,24.5,53.20222,132.9413,144.6344,33.83317,74.20872,normal
WELL-00001,WELL-00001_20170226130146,25.0,53.4328,132.8752,144.6344,33.83329,74.20371,normal
WELL-00001,WELL-00001_20170226130146,25.5,53.89213,132.8642,144.6344,33.83341,74.27586,normal
WELL-00001,WELL-00001_20170226130146,26.0,53.73118,132.8642,144.6344,33.83353,74.24548,normal
WELL-00001,WELL-00001_20170226130146,26.5,53.04942,132.8642,144.6344,33.83366,74.11257,normal
WELL-00001,WELL-00001_20170226130146,27.0,52.86496,132.8642,144.6344,33.83378,74.03304,normal
WELL-00001,WELL-00001_20170226130146,27.5,52.83873,132.8642,144.6344,33.8339,74.00689,normal
WELL-00001,WELL-00001_20170226130146,28.0,53.60369,132.8642,144.6344,33.83402,74.06445,normal
WELL-00001,WELL-00001_20170226130146,28.5,53.75228,132.8642,144.6344,33.83414,74.21765,normal
WELL-00001,WELL-00001_20170226130146,29.0,53.7776,132.8642,144.6344,33.83426,74.27573,normal
WELL-00001,WELL-00001_20170226130146,29.5,53.70948,132.8642,144.6344,33.83438,74.25055,normal
WELL-00001,WELL-00001_20170226130146,30.0,53.62268,132.8642,144.6344,33.8345,74.22537,normal
WELL-00001,WELL-00001_20170226130146,30.5,52.6799,132.8642,144.6344,33.83463,74.2002,normal
WELL-00001,WELL-00001_20170226130146,31.0,52.99697,132.8642,144.6344,33.83475,74.17502,normal
WELL-00001,WELL-00001_20170226130146,31.5,53.49067,132.8642,144.6344,33.83487,74.14984,normal
WELL-00001,WELL-00001_20170226130146,32.0,53.43641,132.8642,144.642,33.83499,74.1422,normal
WELL-00001,WELL-00001_20170226130146,32.5,53.42974,132.8642,144.6743,33.83511,74.15211,normal
WELL-00001,WELL-00001_20170226130146,33.0,53.66098,132.8642,144.7067,33.83523,74.17572,normal
WELL-00001,WELL-00001_20170226130146,33.5,53.82232,132.8642,144.739,33.83535,74.25417,normal
WELL-00001,WELL-00001_20170226130146,34.0,53.52936,132.8642,144.7714,33.83547,74.30182,normal
WELL-00001,WELL-00001_20170226130146,34.5,53.27836,132.8642,144.8037,33.83559,74.19549,normal
WELL-00001,WELL-00001_20170226130146,35.0,53.30006,132.8642,144.8361,33.83572,74.10307,normal
WELL-00001,WELL-00001_20170226130146,35.5,53.40104,132.8442,144.8684,33.83584,74.08029,normal
WELL-00001,WELL-00001_20170226130146,36.0,54.01735,132.8203,144.9008,33.83596,74.07687,normal
WELL-00001,WELL-00001_20170226130146,36.5,53.58918,132.7963,144.9331,33.83608,74.17025,normal
WELL-00001,WELL-00001_20170226130146,37.0,53.42584,132.7724,144.9655,33.8362,74.23959,normal
WELL-00001,WELL-00001_20170226130146,37.5,53.55421,132.7485,144.9978,33.83632,74.1527,normal
WELL-00001,WELL-00001_20170226130146,38.0,53.51297,132.7245,145.0302,33.83644,74.0658,normal
WELL-00001,WELL-00001_20170226130146,38.5,53.27787,132.7006,144.992,33.83656,73.97891,normal
WELL-00001,WELL-00001_20170226130146,39.0,53.27472,132.6766,144.9459,33.83669,73.93181,normal
WELL-00001,WELL-00001_20170226130146,39.5,53.53662,132.6647,144.8999,33.83681,74.04387,normal
WELL-00001,WELL-00001_20170226130146,40.0,53.5469,132.6647,144.8539,33.83693,74.14105,normal
WELL-00001,WELL-00001_20170226130146,40.5,53.33701,132.6647,144.8904,33.83705,74.16383,normal
WELL-00001,WELL-00001_20170226130146,41.0,53.31887,132.6647,144.9902,33.83717,74.17224,normal
WELL-00001,WELL-00001_20170226130146,41.5,53.49247,132.6647,145.0253,33.83729,74.10874,normal
WELL-00001,WELL-00001_20170226130146,42.0,53.53481,132.6647,145.0111,33.83741,74.05573,normal
WELL-00001,WELL-00001_20170226130146,42.5,53.44587,132.6647,144.9968,33.83754,74.07092,normal
WELL-00001,WELL-00001_20170226130146,43.0,53.18577,132.6647,144.9826,33.83765,74.07528,normal
WELL-00001,WELL-00001_20170226130146,43.5,52.73005,132.6647,144.9683,33.83778,74.00923,normal
WELL-00001,WELL-00001_20170226130146,44.0,52.76854,132.6647,144.9541,33.8379,73.94319,normal
WELL-00001,WELL-00001_20170226130146,44.5,53.37182,132.6647,144.9398,33.83802,74.03661,normal
WELL-00001,WELL-00001_20170226130146,45.0,53.30091,132.6647,144.9256,33.83814,74.16193,normal
WELL-00001,WELL-00001_20170226130146,45.5,53.06145,132.6647,144.9113,33.83826,74.12057,normal
WELL-00001,WELL-00001_20170226130146,46.0,53.22684,132.6647,144.8971,33.83838,74.04585,normal
WELL-00001,WELL-00001_20170226130146,46.5,53.45452,132.6647,144.8828,33.8385,74.06738,normal
WELL-00001,WELL-00001_20170226130146,47.0,53.59193,132.6647,144.8686,33.83862,74.11295,normal
WELL-00001,WELL-00001_20170226130146,47.5,53.71129,132.6647,144.8543,33.83875,74.11477,normal
WELL-00001,WELL-00001_20170226130146,48.0,53.66299,132.6647,144.8401,33.83887,74.10566,normal
WELL-00001,WELL-00001_20170226130146,48.5,53.58117,132.6647,144.947,33.83899,74.09654,normal
WELL-00001,WELL-00001_20170226130146,49.0,53.60242,132.6647,145.1465,33.83911,74.08743,normal
WELL-00001,WELL-00001_20170226130146,49.5,53.64944,132.7068,145.2391,33.83923,74.07831,normal
WELL-00001,WELL-00001_20170226130146,50.0,53.59,132.7911,145.25,33.83935,74.0692,normal
WELL-00001,WELL-00001_20170226130146,50.5,53.50395,132.8684,145.2608,33.83947,74.06008,normal
WELL-00001,WELL-00001_20170226130146,51.0,53.37223,132.9001,145.2717,33.8396,74.05096,normal
WELL-00001,WELL-00001_20170226130146,51.5,53.23349,132.9317,145.2826,33.83971,74.04185,normal
WELL-00001,WELL-00001_20170226130146,52.0,53.37312,132.9634,145.2935,33.83984,74.03274,normal
WELL-00001,WELL-00001_20170226130146,52.5,53.56843,132.9951,145.3044,33.83996,74.06235,normal
WELL-00001,WELL-00001_20170226130146,53.0,52.93187,133.0267,145.3152,33.84008,74.10163,normal
WELL-00001,WELL-00001_20170226130146,53.5,52.69859,133.0584,145.3261,33.8402,74.00975,normal
WELL-00001,WELL-00001_20170226130146,54.0,53.03495,132.9819,145.337,33.84032,73.89769,normal
WELL-00001,WELL-00001_20170226130146,54.5,53.10728,132.8838,145.3479,33.84044,73.89258,normal
WELL-00001,WELL-00001_20170226130146,55.0,52.91559,132.8865,145.3588,33.84056,73.90885,normal
WELL-00001,WELL-00001_20170226130146,55.5,53.01541,132.9144,145.3697,33.84069,73.97862,normal
WELL-00001,WELL-00001_20170226130146,56.0,53.40674,132.9423,145.3805,33.84081,74.10189,normal
WELL-00001,WELL-00001_20170226130146,56.5,53.53513,132.9702,145.3914,33.84093,74.14013,normal
WELL-00001,WELL-00001_20170226130146,57.0,53.36302,132.9981,145.4023,33.84105,74.08121,normal
WELL-00001,WELL-00001_20170226130146,57.5,53.34721,133.026,145.4132,33.84117,74.08757,normal
WELL-00001,WELL-00001_20170226130146,58.0,53.46816,133.0539,145.4241,33.84129,74.15107,normal
WELL-00001,WELL-00001_20170226130146,58.5,53.46173,133.0818,145.4324,33.84141,74.14864,normal
WELL-00001,WELL-00001_20170226130146,59.0,53.32791,133.1097,145.4324,33.84153,74.08029,normal
WELL-00001,WELL-00001_20170226130146,59.5,53.31344,133.1376,145.4324,33.84166,74.05364,normal
WELL-00001,WELL-00001_20170226130146,60.0,53.41833,133.1655,145.4324,33.84177,74.06871,normal
WELL-00001,WELL-00001_20170226130146,60.5,53.47898,133.1934,145.4324,33.8419,74.08377,normal
WELL-00001,WELL-00001_20170226130146,61.0,53.49539,133.2213,145.4324,33.84202,74.09884,normal
WELL-00001,WELL-00001_20170226130146,61.5,53.5118,133.2492,145.4324,33.84214,74.1472,normal
WELL-00001,WELL-00001_20170226130146,62.0,53.52821,133.2133,145.4324,33.84226,74.23363,normal
WELL-00001,WELL-00001_20170226130146,62.5,53.42014,133.1135,145.4324,33.84238,74.23013,normal
WELL-00001,WELL-00001_20170226130146,63.0,53.20313,133.1127,145.4324,33.8425,74.14796,normal
WELL-00001,WELL-00001_20170226130146,63.5,52.98612,133.2108,145.4324,33.84262,74.01952,normal
WELL-00001,WELL-00001_20170226130146,64.0,52.76911,133.2475,145.4324,33.84275,73.84483,normal
WELL-00001,WELL-00001_20170226130146,64.5,52.71667,133.2141,145.4324,33.84286,73.81635,normal
WELL-00001,WELL-00001_20170226130146,65.0,53.48705,133.1807,145.4324,33.84299,73.93408,normal
WELL-00001,WELL-00001_20170226130146,65.5,53.64257,133.1472,145.4324,33.84311,74.02266,normal
WELL-00001,WELL-00001_20170226130146,66.0,53.67512,133.1138,145.4324,33.84323,74.0821,normal
WELL-00001,WELL-00001_20170226130146,66.5,53.15611,133.0804,145.4324,33.84335,74.10276,normal
WELL-00001,WELL-00001_20170226130146,67.0,52.69512,133.1135,145.4324,33.84347,73.96828,normal
WELL-00001,WELL-00001_20170226130146,67.5,53.07577,133.2133,145.4324,33.84359,73.87585,normal
WELL-00001,WELL-00001_20170226130146,68.0,53.41216,133.2883,145.4324,33.84372,73.99358,normal
WELL-00001,WELL-00001_20170226130146,68.5,53.4608,133.3386,145.4424,33.84384,74.10244,normal
WELL-00001,WELL-00001_20170226130146,69.0,53.499,133.3889,145.4851,33.84396,74.167,normal
WELL-00001,WELL-00001_20170226130146,69.5,53.49544,133.4392,145.5279,33.84408,74.21442,normal
WELL-00001,WELL-00001_20170226130146,70.0,53.48102,133.4627,145.5706,33.8442,74.17612,normal
WELL-00001,WELL-00001_20170226130146,70.5,53.4123,133.4627,145.6134,33.84432,74.13783,normal
WELL-00001,WELL-00001_20170226130146,71.0,53.30359,133.4627,145.5754,33.84444,74.09953,normal
WELL-00001,WELL-00001_20170226130146,71.5,52.99488,133.4627,145.4756,33.84456,74.05171,normal
WELL-00001,WELL-00001_20170226130146,72.0,52.68618,133.4627,145.4512,33.84468,73.9658,normal
WELL-00001,WELL-00001_20170226130146,72.5,53.62328,133.4627,145.4845,33.84481,73.91826,normal
WELL-00001,WELL-00001_20170226130146,73.0,53.54009,133.4627,145.5177,33.84492,74.06256,normal
WELL-00001,WELL-00001_20170226130146,73.5,53.49777,133.4627,145.551,33.84505,74.18599,normal
WELL-00001,WELL-00001_20170226130146,74.0,53.65976,133.4627,145.5842,33.84517,74.20498,normal
WELL-00001,WELL-00001_20170226130146,74.5,53.82175,133.4627,145.6175,33.84529,74.19714,normal
WELL-00001,WELL-00001_20170226130146,75.0,53.67756,133.4627,145.6319,33.84541,74.0552,normal
WELL-00001,WELL-00001_20170226130146,75.5,53.45681,133.4627,145.6319,33.84553,73.95104,normal
WELL-00001,WELL-00001_20170226130146,76.0,53.40579,133.4627,145.6319,33.84565,74.09247,normal
WELL-00001,WELL-00001_20170226130146,76.5,53.38089,133.4627,145.6319,33.84578,74.19342,normal
WELL-00001,WELL-00001_20170226130146,77.0,53.58169,133.4627,145.6319,33.8459,74.13244,normal
WELL-00001,WELL-00001_20170226130146,77.5,53.82763,133.4627,145.6319,33.84602,74.07146,normal
WELL-00001,WELL-00001_20170226130146,78.0,53.49187,133.4627,145.6319,33.84614,74.10561,normal
WELL-00001,WELL-00001_20170226130146,78.5,53.03977,133.4627,145.6319,33.84626,74.15878,normal
WELL-00001,WELL-00001_20170226130146,79.0,53.01767,133.4627,145.6319,33.84638,74.10538,normal
WELL-00001,WELL-00001_20170226130146,79.5,53.08157,133.4627,145.6319,33.8465,74.03066,normal
WELL-00001,WELL-00001_20170226130146,80.0,53.14546,133.4513,145.6319,33.84662,74.0283,normal
WELL-00001,WELL-00001_20170226130146,80.5,53.20936,133.4299,145.6319,33.84674,74.04401,normal
WELL-00001,WELL-00001_20170226130146,81.0,53.27325,133.4086,145.6319,33.84687,74.13352,normal
WELL-00001,WELL-00001_20170226130146,81.5,53.33715,133.3873,145.6319,33.84699,74.23438,normal
WELL-00001,WELL-00001_20170226130146,82.0,53.25738,133.3659,145.6319,33.84711,74.21796,normal
WELL-00001,WELL-00001_20170226130146,82.5,53.14888,133.3446,145.6319,33.84723,74.17808,normal
WELL-00001,WELL-00001_20170226130146,83.0,53.30259,133.3233,145.6319,33.84735,74.13821,normal
WELL-00001,WELL-00001_20170226130146,83.5,53.50875,133.3019,145.6319,33.84747,74.09833,normal
WELL-00001,WELL-00001_20170226130146,84.0,53.41267,133.2806,145.6319,33.84759,74.09959,normal
WELL-00001,WELL-00001_20170226130146,84.5,53.25614,133.2592,145.6319,33.84771,74.10909,normal
WELL-00001,WELL-00001_20170226130146,85.0,53.4236,133.2379,145.6319,33.84784,74.11858,normal
WELL-00001,WELL-00001_20170226130146,85.5,53.67205,133.2166,145.6319,33.84796,74.12807,normal
WELL-00001,WELL-00001_20170226130146,86.0,53.49247,133.1952,145.6319,33.84808,74.13757,normal
WELL-00001,WELL-00001_20170226130146,86.5,52.88485,133.1739,145.6319,33.8482,74.14706,normal
WELL-00001,WELL-00001_20170226130146,87.0,53.11211,133.1526,145.6319,33.84832,74.15656,normal
WELL-00001,WELL-00001_20170226130146,87.5,53.50634,133.1312,145.6319,33.84844,74.16605,normal
WELL-00001,WELL-00001_20170226130146,88.0,53.48237,133.1099,145.6319,33.84856,74.2131,normal
WELL-00001,WELL-00001_20170226130146,88.5,53.37476,133.0885,145.6319,33.84868,74.26765,normal
WELL-00001,WELL-00001_20170226130146,89.0,53.26715,133.0672,145.6319,33.8488,74.24358,normal
WELL-00001,WELL-00001_20170226130146,89.5,53.15955,133.0845,145.6319,33.84893,74.12966,normal
WELL-00001,WELL-00001_20170226130146,90.0,53.31163,133.1096,145.6319,33.84905,74.08553,normal
WELL-00001,WELL-00001_20170226130146,90.5,53.52864,133.1346,145.6319,33.84917,74.10248,normal
WELL-00001,WELL-00001_20170226130146,91.0,53.57747,133.1597,145.6319,33.84929,74.11942,normal
WELL-00001,WELL-00001_20170226130146,91.5,53.45811,133.1847,145.6319,33.84941,74.13637,normal
WELL-00001,WELL-00001_20170226130146,92.0,53.40567,133.2097,145.6319,33.84953,74.13449,normal
WELL-00001,WELL-00001_20170226130146,92.5,53.42014,133.2348,145.6319,33.84965,74.11378,normal
WELL-00001,WELL-00001_20170226130146,93.0,53.46117,133.2598,145.6319,33.84977,74.09306,normal
WELL-00001,WELL-00001_20170226130146,93.5,53.52876,133.0931,145.6319,33.8499,74.07235,normal
WELL-00001,WELL-00001_20170226130146,94.0,53.54036,132.8969,145.6319,33.85002,74.03014,normal
WELL-00001,WELL-00001_20170226130146,94.5,53.48798,132.8642,145.6319,33.85014,73.96335,normal
WELL-00001,WELL-00001_20170226130146,95.0,53.51477,132.8642,145.6489,33.85026,74.01585,normal
WELL-00001,WELL-00001_20170226130146,95.5,53.61082,132.8642,145.679,33.85038,74.17274,normal
WELL-00001,WELL-00001_20170226130146,96.0,53.57023,132.8642,145.7091,33.8505,74.23219,normal
WELL-00001,WELL-00001_20170226130146,96.5,53.39301,132.8642,145.7392,33.85062,74.19422,normal
WELL-00001,WELL-00001_20170226130146,97.0,53.21579,132.8642,145.7692,33.85074,74.10877,normal
WELL-00001,WELL-00001_20170226130146,97.5,53.03856,132.8642,145.7993,33.85086,73.97585,normal
WELL-00001,WELL-00001_20170226130146,98.0,53.1047,132.8642,145.8294,33.85099,73.94737,normal
WELL-00001,WELL-00001_20170226130146,98.5,53.41421,132.8642,145.8314,33.85111,74.02332,normal
WELL-00001,WELL-00001_20170226130146,99.0,53.54436,132.8642,145.8314,33.85123,74.08208,normal
WELL-00001,WELL-00001_20170226130146,99.5,53.46952,132.8642,145.8314,33.85135,74.07207,normal
WELL-00001,WELL-00001_20170226130146,100.0,53.58829,132.8642,145.8314,33.85147,74.06205,normal
WELL-00001,WELL-00001_20170226130146,100.5,53.87645,132.8642,145.8314,33.85159,74.05203,normal
WELL-00001,WELL-00001_20170226130146,101.0,53.87043,132.8642,145.8314,33.85171,74.04202,normal
WELL-00001,WELL-00001_20170226130146,101.5,53.57023,132.8642,145.8314,33.85183,74.03201,normal
WELL-00001,WELL-00001_20170226130146,102.0,53.11633,132.8642,145.8314,33.85196,74.01269,normal
WELL-00001,WELL-00001_20170226130146,102.5,52.5087,132.8642,145.8314,33.85208,73.93294,normal
WELL-00001,WELL-00001_20170226130146,103.0,53.06298,132.8642,145.8314,33.8522,73.88216,normal
WELL-00001,WELL-00001_20170226130146,103.5,53.50513,132.8642,145.8314,33.85232,74.01965,normal
WELL-00001,WELL-00001_20170226130146,104.0,53.60278,132.8642,145.8314,33.85244,74.11397,normal
WELL-00001,WELL-00001_20170226130146,104.5,53.65245,132.8833,145.8314,33.85256,74.03552,normal
WELL-00001,WELL-00001_20170226130146,105.0,53.65413,132.9064,145.8314,33.85268,73.97957,normal
WELL-00001,WELL-00001_20170226130146,105.5,53.65582,132.9294,145.8314,33.8528,74.03606,normal
WELL-00001,WELL-00001_20170226130146,106.0,53.6575,132.9524,145.8314,33.85292,74.09256,normal
WELL-00001,WELL-00001_20170226130146,106.5,53.62548,132.9754,145.8314,33.85305,74.14906,normal
WELL-00001,WELL-00001_20170226130146,107.0,53.45869,132.9984,145.8314,33.85317,74.19396,normal
WELL-00001,WELL-00001_20170226130146,107.5,53.2919,133.0215,145.8314,33.85329,74.16358,normal
WELL-00001,WELL-00001_20170226130146,108.0,53.12511,133.0445,145.8314,33.85341,74.12049,normal
WELL-00001,WELL-00001_20170226130146,108.5,53.03296,133.0473,145.8314,33.85353,73.99477,normal
WELL-00001,WELL-00001_20170226130146,109.0,53.31401,132.9492,145.8314,33.85365,73.91288,normal
WELL-00001,WELL-00001_20170226130146,109.5,53.57783,132.8709,145.8314,33.85378,74.00626,normal
WELL-00001,WELL-00001_20170226130146,110.0,53.72973,132.9216,145.8314,33.85389,74.08535,normal
WELL-00001,WELL-00001_20170226130146,110.5,53.84692,132.9724,145.8314,33.85402,74.09294,normal
WELL-00001,WELL-00001_20170226130146,111.0,53.73841,133.0231,145.8314,33.85414,74.08926,normal
WELL-00001,WELL-00001_20170226130146,111.5,53.62328,133.044,145.8314,33.85426,74.02921,normal
WELL-00001,WELL-00001_20170226130146,112.0,53.48159,132.9459,145.8314,33.85438,73.96915,normal
WELL-00001,WELL-00001_20170226130146,112.5,53.33991,132.8669,145.8314,33.8545,73.9091,normal
WELL-00001,WELL-00001_20170226130146,113.0,53.19823,132.883,145.8314,33.85462,73.84904,normal
WELL-00001,WELL-00001_20170226130146,113.5,53.07779,132.8992,145.8314,33.85474,73.90254,normal
WELL-00001,WELL-00001_20170226130146,114.0,53.06356,132.9154,145.8314,33.85486,73.97352,normal
WELL-00001,WELL-00001_20170226130146,114.5,53.06762,132.9316,145.8314,33.85498,73.98534,normal
WELL-00001,WELL-00001_20170226130146,115.0,53.19059,132.9477,145.8314,33.85511,73.98534,normal
WELL-00001,WELL-00001_20170226130146,115.5,53.30094,132.9639,145.8314,33.85523,73.98534,normal
WELL-00001,WELL-00001_20170226130146,116.0,53.32924,132.9801,145.8314,33.85535,73.98534,normal
WELL-00001,WELL-00001_20170226130146,116.5,53.35755,132.9963,145.8314,33.85547,73.98534,normal
WELL-00001,WELL-00001_20170226130146,117.0,53.28993,133.0124,145.8314,33.85559,73.98534,normal
WELL-00001,WELL-00001_20170226130146,117.5,53.20313,133.0286,145.8314,33.85571,73.98534,normal
WELL-00001,WELL-00001_20170226130146,118.0,53.36649,133.0448,145.8314,33.85583,73.98534,normal
WELL-00001,WELL-00001_20170226130146,118.5,53.57988,133.061,145.8461,33.85595,74.04362,normal
WELL-00001,WELL-00001_20170226130146,119.0,53.58028,132.9819,145.8618,33.85608,74.11086,normal
WELL-00001,WELL-00001_20170226130146,119.5,53.53809,132.8838,145.8776,33.8562,74.04611,normal
WELL-00001,WELL-00001_20170226130146,120.0,53.49589,132.9042,145.8933,33.85632,73.95496,normal
WELL-00001,WELL-00001_20170226130146,120.5,53.45369,132.9543,145.9091,33.85644,73.97272,normal
WELL-00001,WELL-00001_20170226130146,121.0,53.4115,133.0044,145.9248,33.85656,74.01228,normal
WELL-00001,WELL-00001_20170226130146,121.5,53.3693,133.0545,145.9406,33.85668,74.05182,normal
WELL-00001,WELL-00001_20170226130146,122.0,53.38638,133.1046,145.9563,33.8568,74.09136,normal
WELL-00001,WELL-00001_20170226130146,122.5,53.41531,133.1546,145.9721,33.85693,74.10892,normal
WELL-00001,WELL-00001_20170226130146,123.0,53.51878,133.2047,145.9878,33.85704,74.12098,normal
WELL-00001,WELL-00001_20170226130146,123.5,53.63715,133.2548,146.0036,33.85717,74.13303,normal
WELL-00001,WELL-00001_20170226130146,124.0,53.75551,133.2733,146.0193,33.85729,74.14509,normal
WELL-00001,WELL-00001_20170226130146,124.5,53.87388,133.2856,146.0309,33.85741,74.15715,normal
WELL-00001,WELL-00001_20170226130146,125.0,53.40451,133.2978,146.0309,33.85753,74.1692,normal
WELL-00001,WELL-00001_20170226130146,125.5,52.9073,133.31,146.0309,33.85765,74.09679,normal
WELL-00001,WELL-00001_20170226130146,126.0,53.18417,133.3222,146.0309,33.85777,73.9399,normal
WELL-00001,WELL-00001_20170226130146,126.5,53.41146,133.3344,146.0309,33.85789,73.89656,normal
WELL-00001,WELL-00001_20170226130146,127.0,53.44039,133.3466,146.0309,33.85801,73.98299,normal
WELL-00001,WELL-00001_20170226130146,127.5,53.43152,133.3588,146.0309,33.85814,73.99821,normal
WELL-00001,WELL-00001_20170226130146,128.0,53.27143,133.371,146.0309,33.85826,73.95113,normal
WELL-00001,WELL-00001_20170226130146,128.5,53.16762,133.3833,146.0309,33.85838,73.90406,normal
WELL-00001,WELL-00001_20170226130146,129.0,53.34517,133.3955,146.0309,33.8585,73.85698,normal
WELL-00001,WELL-00001_20170226130146,129.5,53.52272,133.4077,146.0309,33.85862,73.90939,normal
WELL-00001,WELL-00001_20170226130146,130.0,53.70028,133.4199,146.0309,33.85874,74.0613,normal
WELL-00001,WELL-00001_20170226130146,130.5,53.84218,133.4321,146.0309,33.85886,74.11484,normal
WELL-00001,WELL-00001_20170226130146,131.0,53.75238,133.4443,146.0309,33.85899,74.07001,normal
WELL-00001,WELL-00001_20170226130146,131.5,53.69216,133.4566,146.0309,33.8591,74.06995,normal
WELL-00001,WELL-00001_20170226130146,132.0,53.75023,133.4627,146.0309,33.85923,74.12101,normal
WELL-00001,WELL-00001_20170226130146,132.5,53.80831,133.4627,146.0309,33.85935,74.14655,normal
WELL-00001,WELL-00001_20170226130146,133.0,53.53165,133.4627,146.0309,33.85947,74.14977,normal
