pozo,PROF,GR,RHOB,NPHI,DTC,RDEP,LITH,es_reservorio
15/9-13,1153.3,61.83,1.7703,0.5296,147.04,1.202,Shale,0
15/9-13,1153.45,60.86,1.7905,0.4964,146.92,1.209,Shale,0
15/9-13,1153.6,58.41,1.8233,0.4954,146.92,1.206,Shale,0
15/9-13,1153.75,53.59,1.8426,0.5372,147.04,1.197,Shale,0
15/9-13,1153.9,52.62,1.8411,0.5716,147.04,1.18,Shale,0
15/9-13,1154.06,51.95,1.8373,0.5822,146.92,1.155,Shale,0
15/9-13,1154.21,53.3,1.8361,0.5445,146.92,1.121,Shale,0
15/9-13,1154.36,51.73,1.8495,0.535,147.04,1.101,Sandstone,1
15/9-13,1154.51,46.58,1.8453,0.5571,146.98,1.114,Sandstone,1
15/9-13,1154.66,43.87,1.8434,0.5853,146.92,1.137,Sandstone,1
15/9-13,1158.01,42.37,1.734,0.5862,146.94,0.902,Sandstone,1
15/9-13,1158.16,42.09,1.7652,0.6036,146.9,0.887,Sandstone,1
15/9-13,1158.31,42.42,1.7695,0.5759,147.04,0.873,Sandstone,1
15/9-13,1158.46,42.18,1.7484,0.5541,146.99,0.86,Sandstone,1
15/9-13,1158.62,41.27,1.7487,0.5701,146.97,0.862,Sandstone,1
15/9-13,1158.77,40.31,1.7316,0.5955,146.99,0.899,Sandstone,1
15/9-13,1158.92,38.89,1.7042,0.6299,146.92,0.96,Sandstone,1
15/9-13,1159.07,36.97,1.6737,0.6656,146.87,1.005,Sandstone,1
15/9-13,1159.22,38.09,1.6637,0.6567,146.8,1.03,Sandstone,1
15/9-13,1159.38,43.46,1.6392,0.6362,146.8,1.027,Sandstone,1
15/9-13,1159.53,48.11,1.6201,0.6008,146.9,1.021,Sandstone,1
15/9-13,1159.68,52.49,1.6451,0.5885,146.94,1.045,Shale,0
15/9-13,1159.83,51.95,1.6891,0.5747,146.8,1.099,Shale,0
15/9-13,1162.87,43.82,1.7277,0.6557,146.8,0.851,Sandstone,1
15/9-13,1163.02,44.63,1.6913,0.6406,146.8,0.845,Sandstone,1
15/9-13,1163.18,49.48,1.6564,0.5919,146.88,0.846,Sandstone,1
15/9-13,1164.39,70.02,1.6636,0.5099,146.84,1.087,Shale,0
15/9-13,1164.54,67.38,1.6419,0.5387,146.92,1.116,Shale,0
15/9-13,1164.7,58.25,1.6351,0.5912,146.88,1.144,Shale,0
15/9-13,1164.85,56.19,1.6441,0.636,146.8,1.148,Shale,0
15/9-13,1165.0,57.21,1.6809,0.6055,146.8,1.129,Shale,0
15/9-13,1165.15,61.14,1.7276,0.5651,146.88,1.109,Shale,0
15/9-13,1166.37,70.74,1.7172,0.5659,146.63,1.213,Shale,0
15/9-13,1166.52,70.35,1.7245,0.5543,146.8,1.228,Shale,0
15/9-13,1166.67,68.01,1.747,0.5215,146.77,1.238,Shale,0
15/9-13,1166.82,69.7,1.7677,0.507,146.68,1.245,Shale,0
15/9-13,1166.98,71.56,1.78,0.5128,146.75,1.251,Shale,0
15/9-13,1167.13,70.91,1.778,0.5355,146.85,1.248,Shale,0
15/9-13,1167.28,70.25,1.7695,0.5391,146.68,1.261,Shale,0
15/9-13,1167.43,67.89,1.7705,0.5528,146.68,1.269,Shale,0
15/9-13,1167.58,69.18,1.7828,0.5372,146.75,1.269,Shale,0
15/9-13,1167.74,68.82,1.8029,0.5018,146.86,1.272,Shale,0
15/9-13,1167.89,68.32,1.8201,0.4629,146.68,1.269,Shale,0
15/9-13,1168.04,70.84,1.8213,0.4502,146.68,1.256,Shale,0
15/9-13,1168.19,71.55,1.8206,0.4833,146.75,1.254,Shale,0
15/9-13,1168.34,70.89,1.8168,0.4989,146.83,1.245,Shale,0
15/9-13,1168.5,67.46,1.8285,0.539,146.65,1.234,Shale,0
15/9-13,1168.65,64.94,1.8364,0.5343,146.86,1.226,Shale,0
15/9-13,1168.8,62.84,1.8388,0.4985,146.68,1.227,Shale,0
15/9-13,1168.95,63.42,1.8279,0.4751,146.74,1.22,Shale,0
15/9-13,1169.1,67.12,1.8322,0.4821,146.86,1.206,Shale,0
15/9-13,1169.26,67.97,1.8584,0.4971,146.68,1.199,Shale,0
15/9-13,1169.41,67.04,1.8873,0.4971,146.68,1.204,Shale,0
15/9-13,1169.56,66.94,1.8796,0.4885,146.74,1.226,Shale,0
15/9-13,1169.71,64.55,1.8307,0.4747,146.86,1.246,Shale,0
15/9-13,1169.86,58.04,1.7874,0.4534,146.68,1.256,Shale,0
15/9-13,1170.02,53.47,1.7744,0.4668,146.68,1.257,Shale,0
15/9-13,1173.51,43.1,1.8841,0.4431,145.41,1.012,Sandstone,1
15/9-13,1173.66,44.15,1.8752,0.439,144.99,0.989,Sandstone,1
15/9-13,1173.82,37.76,1.8798,0.427,144.88,0.959,Sandstone,1
15/9-13,1173.97,32.91,1.8955,0.4206,144.68,0.934,Sandstone,1
15/9-13,1174.12,28.65,1.9155,0.4394,144.09,0.914,Sandstone,1
15/9-13,1174.27,31.72,1.9337,0.434,143.66,0.903,Sandstone,1
15/9-13,1174.42,34.18,1.943,0.4123,144.13,0.893,Sandstone,1
15/9-13,1174.58,33.32,1.9406,0.3937,144.64,0.881,Sandstone,1
15/9-13,1174.73,30.48,1.9333,0.4021,145.25,0.871,Sandstone,1
15/9-13,1174.88,30.12,1.9306,0.4182,145.29,0.857,Sandstone,1
15/9-13,1175.03,28.53,1.9306,0.4289,145.4,0.845,Sandstone,1
15/9-13,1175.18,28.23,1.9352,0.4327,144.98,0.835,Sandstone,1
15/9-13,1175.34,32.08,1.9375,0.434,145.62,0.828,Sandstone,1
15/9-13,1175.49,35.45,1.9342,0.4451,146.69,0.828,Sandstone,1
15/9-13,1175.64,37.88,1.9214,0.4447,148.31,0.827,Sandstone,1
15/9-13,1175.79,36.62,1.9035,0.4451,148.8,0.828,Sandstone,1
15/9-13,1175.94,35.58,1.896,0.4548,148.5,0.827,Sandstone,1
15/9-13,1176.1,34.65,1.9009,0.4702,147.67,0.826,Sandstone,1
15/9-13,1176.25,31.45,1.9168,0.4608,146.1,0.828,Sandstone,1
15/9-13,1176.4,30.59,1.9382,0.4369,145.34,0.832,Sandstone,1
15/9-13,1176.55,32.05,1.9579,0.4207,145.2,0.833,Sandstone,1
15/9-13,1176.7,33.88,1.9653,0.4153,145.78,0.836,Sandstone,1
15/9-13,1176.86,35.28,1.954,0.4235,146.26,0.84,Sandstone,1
15/9-13,1177.01,35.53,1.9375,0.4195,146.73,0.841,Sandstone,1
15/9-13,1177.16,33.62,1.9262,0.4228,147.21,0.844,Sandstone,1
15/9-13,1177.31,29.12,1.9181,0.4123,147.68,0.844,Sandstone,1
15/9-13,1177.46,28.93,1.9076,0.421,148.17,0.844,Sandstone,1
15/9-13,1177.62,33.26,1.8968,0.442,148.74,0.845,Sandstone,1
15/9-13,1177.77,36.0,1.8906,0.4687,149.08,0.844,Sandstone,1
15/9-13,1177.92,35.69,1.8851,0.4725,149.17,0.844,Sandstone,1
15/9-13,1178.07,33.99,1.8786,0.467,149.07,0.844,Sandstone,1
15/9-13,1178.22,36.63,1.866,0.4626,149.08,0.844,Sandstone,1
15/9-13,1178.38,34.8,1.8539,0.4787,149.17,0.843,Sandstone,1
15/9-13,1178.53,34.59,1.8471,0.4762,148.97,0.842,Sandstone,1
15/9-13,1178.68,34.96,1.847,0.464,149.18,0.843,Sandstone,1
15/9-13,1178.83,36.83,1.8463,0.4564,149.06,0.841,Sandstone,1
15/9-13,1178.98,35.42,1.8429,0.4533,148.96,0.839,Sandstone,1
15/9-13,1179.14,32.81,1.8349,0.4633,149.07,0.84,Sandstone,1
15/9-13,1179.29,31.95,1.8268,0.4681,149.18,0.841,Sandstone,1
15/9-13,1179.44,31.86,1.8185,0.4847,149.07,0.845,Sandstone,1
15/9-13,1179.59,31.49,1.8152,0.5224,149.07,0.848,Sandstone,1
15/9-13,1179.74,31.76,1.8225,0.5309,149.07,0.85,Sandstone,1
15/9-13,1179.9,32.97,1.8332,0.5189,149.18,0.851,Sandstone,1
15/9-13,1180.05,32.26,1.8422,0.4945,149.06,0.852,Sandstone,1
15/9-13,1180.2,29.84,1.8401,0.505,148.96,0.852,Sandstone,1
15/9-13,1180.35,28.48,1.8318,0.5226,149.18,0.852,Sandstone,1
15/9-13,1180.5,30.33,1.8232,0.5116,149.06,0.853,Sandstone,1
15/9-13,1180.66,31.3,1.8146,0.4791,148.96,0.854,Sandstone,1
15/9-13,1180.81,31.78,1.8088,0.4669,149.19,0.854,Sandstone,1
15/9-13,1180.96,28.06,1.8058,0.5059,149.18,0.854,Sandstone,1
15/9-13,1181.11,27.56,1.8039,0.5591,149.06,0.854,Sandstone,1
15/9-13,1181.26,28.04,1.7989,0.5865,148.95,0.851,Sandstone,1
15/9-13,1181.42,29.54,1.7926,0.5633,149.07,0.848,Sandstone,1
15/9-13,1181.57,31.4,1.789,0.5515,149.07,0.85,Sandstone,1
15/9-13,1181.72,31.61,1.7891,0.5454,149.07,0.851,Sandstone,1
15/9-13,1181.87,33.16,1.7821,0.5524,149.18,0.851,Sandstone,1
15/9-13,1182.02,33.7,1.7694,0.5486,149.07,0.854,Sandstone,1
15/9-13,1182.18,33.62,1.7595,0.5661,149.07,0.854,Sandstone,1
15/9-13,1182.33,32.29,1.7569,0.5575,149.18,0.85,Sandstone,1
15/9-13,1182.48,30.19,1.7604,0.5199,149.06,0.847,Sandstone,1
15/9-13,1182.63,27.24,1.7636,0.4858,148.95,0.847,Sandstone,1
15/9-13,1182.78,27.37,1.7598,0.5248,149.3,0.846,Sandstone,1
15/9-13,1182.94,30.04,1.7515,0.5775,149.19,0.847,Sandstone,1
15/9-13,1183.09,31.3,1.746,0.5889,149.07,0.85,Sandstone,1
15/9-13,1183.24,29.17,1.7462,0.5621,149.19,0.856,Sandstone,1
15/9-13,1183.39,27.62,1.7449,0.535,149.3,0.862,Sandstone,1
15/9-13,1183.54,28.98,1.7455,0.5507,149.19,0.863,Sandstone,1
15/9-13,1183.7,29.93,1.7624,0.5521,149.19,0.859,Sandstone,1
15/9-13,1183.85,27.16,1.7934,0.545,149.19,0.856,Sandstone,1
15/9-13,1184.0,26.96,1.8124,0.5351,149.3,0.864,Sandstone,1
15/9-13,1184.15,28.31,1.8044,0.526,149.19,0.879,Sandstone,1
15/9-13,1184.3,31.2,1.7802,0.5225,149.13,0.887,Sandstone,1
15/9-13,1184.46,28.71,1.7582,0.5123,149.07,0.885,Sandstone,1
15/9-13,1184.61,29.77,1.7514,0.5055,149.3,0.876,Sandstone,1
15/9-13,1184.76,31.26,1.7578,0.5031,149.07,0.861,Sandstone,1
15/9-13,1184.91,33.01,1.7698,0.4872,149.18,0.847,Sandstone,1
15/9-13,1185.06,31.22,1.7724,0.4846,149.3,0.843,Sandstone,1
15/9-13,1185.22,27.87,1.7633,0.4807,149.31,0.849,Sandstone,1
15/9-13,1185.37,29.06,1.7482,0.4916,149.08,0.855,Sandstone,1
15/9-13,1185.52,31.0,1.7294,0.5158,149.18,0.85,Sandstone,1
15/9-13,1185.67,32.35,1.711,0.5577,149.3,0.836,Sandstone,1
15/9-13,1185.82,30.59,1.7005,0.5803,149.19,0.821,Sandstone,1
15/9-13,1185.98,29.87,1.6993,0.6011,149.13,0.817,Sandstone,1
15/9-13,1186.13,30.2,1.6968,0.5988,149.07,0.827,Sandstone,1
15/9-13,1186.28,30.45,1.682,0.6041,149.18,0.839,Sandstone,1
15/9-13,1186.43,28.71,1.6624,0.5922,149.3,0.843,Sandstone,1
15/9-13,1186.58,26.92,1.6562,0.5751,149.19,0.843,Sandstone,1
15/9-13,1186.74,27.09,1.6634,0.5576,149.07,0.846,Sandstone,1
15/9-13,1186.89,28.64,1.6687,0.5601,149.29,0.854,Sandstone,1
15/9-13,1187.04,29.58,1.6572,0.5784,149.3,0.863,Sandstone,1
15/9-13,1187.19,29.44,1.638,0.6243,149.19,0.864,Sandstone,1
15/9-13,1187.34,31.27,1.6295,0.6284,149.07,0.86,Sandstone,1
15/9-13,1187.5,30.55,1.6375,0.6374,149.18,0.852,Sandstone,1
15/9-13,1187.65,28.4,1.6488,0.6262,149.3,0.849,Sandstone,1
15/9-13,1187.8,26.04,1.6519,0.6133,149.2,0.849,Sandstone,1
15/9-13,1187.95,26.54,1.6467,0.5998,149.24,0.845,Sandstone,1
15/9-13,1188.1,26.76,1.6431,0.5873,149.3,0.834,Sandstone,1
15/9-13,1188.26,25.57,1.649,0.5654,149.2,0.82,Sandstone,1
15/9-13,1188.41,24.81,1.6679,0.5382,149.29,0.815,Sandstone,1
15/9-13,1188.56,26.4,1.6891,0.5217,149.41,0.823,Sandstone,1
15/9-13,1188.71,26.26,1.6863,0.5228,149.32,0.843,Sandstone,1
15/9-13,1188.86,25.25,1.6583,0.5125,149.41,0.858,Sandstone,1
15/9-13,1189.02,25.01,1.6371,0.4975,149.32,0.858,Sandstone,1
15/9-13,1189.17,26.1,1.6518,0.4834,149.2,0.851,Sandstone,1
15/9-13,1189.32,30.12,1.6953,0.4948,149.29,0.853,Sandstone,1
15/9-13,1189.47,31.33,1.728,0.5191,149.41,0.873,Sandstone,1
15/9-13,1189.62,31.08,1.7295,0.5525,149.32,0.902,Sandstone,1
15/9-13,1189.78,27.98,1.7141,0.564,149.2,0.919,Sandstone,1
15/9-13,1189.93,27.0,1.7015,0.5776,149.4,0.913,Sandstone,1
15/9-13,1190.08,28.32,1.6981,0.5731,149.32,0.899,Sandstone,1
15/9-13,1190.23,30.31,1.698,0.545,149.2,0.89,Sandstone,1
15/9-13,1190.38,29.74,1.6956,0.5277,149.29,0.882,Sandstone,1
15/9-13,1190.54,28.35,1.6919,0.5404,149.41,0.875,Sandstone,1
15/9-13,1190.69,28.17,1.6956,0.5605,149.32,0.872,Sandstone,1
15/9-13,1190.84,30.04,1.7129,0.5552,149.41,0.872,Sandstone,1
15/9-13,1190.99,31.6,1.7373,0.5471,149.32,0.877,Sandstone,1
15/9-13,1191.14,30.99,1.7589,0.5654,149.2,0.904,Sandstone,1
15/9-13,1191.3,28.85,1.7603,0.6018,149.29,0.956,Sandstone,1
15/9-13,1191.45,28.03,1.7317,0.6191,149.41,1.007,Sandstone,1
15/9-13,1191.6,31.17,1.6968,0.6249,149.32,1.063,Sandstone,1
15/9-13,1191.75,36.96,1.6918,0.6173,149.2,1.117,Sandstone,1
15/9-13,1191.9,38.35,1.7315,0.6061,149.39,1.15,Sandstone,1
15/9-13,1192.06,36.82,1.7849,0.6119,149.32,1.181,Sandstone,1
15/9-13,1192.21,37.73,1.8204,0.6139,149.2,1.218,Sandstone,1
15/9-13,1192.36,43.1,1.8343,0.6042,149.29,1.236,Sandstone,1
15/9-13,1192.51,47.19,1.8347,0.5783,149.51,1.235,Sandstone,1
15/9-13,1193.73,44.15,1.8509,0.4116,149.46,0.928,Sandstone,1
15/9-13,1193.88,41.61,1.8538,0.4587,149.5,0.898,Sandstone,1
15/9-13,1194.03,39.6,1.8577,0.4879,149.54,0.863,Sandstone,1
15/9-13,1194.18,37.66,1.8592,0.4862,149.45,0.837,Sandstone,1
15/9-13,1194.34,37.35,1.8593,0.4645,149.33,0.824,Sandstone,1
15/9-13,1194.49,38.96,1.8587,0.4487,149.4,0.819,Sandstone,1
15/9-13,1195.25,42.52,1.8817,0.4979,149.52,0.831,Sandstone,1
15/9-13,1195.4,38.43,1.8871,0.4535,149.45,0.845,Sandstone,1
15/9-13,1195.55,35.7,1.8862,0.4413,149.4,0.856,Sandstone,1
15/9-13,1195.7,37.18,1.8823,0.4786,149.37,0.86,Sandstone,1
15/9-13,1195.86,39.33,1.8828,0.5136,149.34,0.856,Sandstone,1
15/9-13,1196.01,39.8,1.8887,0.5073,149.31,0.848,Sandstone,1
15/9-13,1196.16,39.89,1.8924,0.4725,149.4,0.841,Sandstone,1
15/9-13,1196.31,41.97,1.8889,0.4532,149.52,0.834,Sandstone,1
15/9-13,1196.46,44.69,1.8809,0.455,149.45,0.828,Sandstone,1
15/9-13,1197.98,40.5,1.8256,0.4924,149.32,0.796,Sandstone,1
15/9-13,1198.14,38.78,1.8234,0.4894,149.39,0.796,Sandstone,1
15/9-13,1198.29,37.81,1.838,0.4804,149.51,0.795,Sandstone,1
15/9-13,1198.44,38.51,1.8511,0.4546,149.46,0.796,Sandstone,1
15/9-13,1198.59,40.43,1.8524,0.4321,149.45,0.799,Sandstone,1
15/9-13,1198.74,40.31,1.8501,0.4325,149.49,0.802,Sandstone,1
15/9-13,1198.9,42.2,1.8547,0.4733,149.53,0.808,Sandstone,1
15/9-13,1199.05,45.43,1.8628,0.5287,149.46,0.819,Sandstone,1
15/9-13,1199.2,49.08,1.8637,0.5338,149.51,0.834,Sandstone,1
15/9-13,1199.35,48.4,1.8555,0.5001,149.63,0.851,Sandstone,1
15/9-13,1202.09,48.09,1.8652,0.4984,149.46,0.925,Sandstone,1
15/9-13,1202.24,45.44,1.8844,0.4851,149.5,0.93,Sandstone,1
15/9-13,1202.39,45.2,1.899,0.4495,149.62,0.932,Sandstone,1
15/9-13,1202.54,50.05,1.8993,0.4121,149.5,0.931,Sandstone,1
15/9-13,1202.7,54.23,1.8854,0.4017,149.58,0.931,Sandstone,1
15/9-13,1202.85,55.45,1.862,0.4246,149.58,0.932,Sandstone,1
15/9-13,1206.5,50.26,1.7235,0.5622,149.73,1.032,Sandstone,1
15/9-13,1206.65,47.9,1.7517,0.5417,149.71,1.021,Sandstone,1
15/9-13,1206.8,47.53,1.7821,0.5232,149.59,1.012,Sandstone,1
15/9-13,1206.95,49.46,1.7864,0.5234,149.61,1.006,Sandstone,1
15/9-13,1207.1,50.1,1.7591,0.548,149.73,0.997,Sandstone,1
15/9-13,1207.26,52.86,1.7217,0.5506,149.71,0.99,Sandstone,1
15/9-13,1207.41,55.71,1.6983,0.5479,149.63,0.981,Sandstone,1
15/9-13,1212.42,64.99,1.7863,0.4749,149.78,1.152,Shale,0
15/9-13,1212.58,61.94,1.7928,0.4876,149.78,1.174,Shale,0
15/9-13,1212.73,62.56,1.8026,0.4884,149.84,1.204,Shale,0
15/9-13,1212.88,64.53,1.8067,0.4945,149.72,1.233,Shale,0
15/9-13,1213.03,69.61,1.8063,0.4885,149.72,1.259,Shale,0
15/9-13,1213.18,68.42,1.8097,0.4923,149.84,1.27,Shale,0
15/9-13,1213.34,65.92,1.8111,0.4921,149.79,1.269,Shale,0
15/9-13,1213.49,61.24,1.7961,0.5058,149.72,1.247,Shale,0
15/9-13,1213.64,57.77,1.7735,0.5287,149.84,1.215,Shale,0
15/9-13,1213.79,58.08,1.7506,0.5423,149.84,1.177,Shale,0
15/9-13,1214.4,45.25,1.8691,0.5259,149.74,0.954,Sandstone,1
15/9-13,1214.55,43.91,1.9304,0.4866,148.5,0.893,Sandstone,1
15/9-13,1214.7,42.13,1.9478,0.4655,145.48,0.848,Sandstone,1
15/9-13,1214.86,39.5,1.9365,0.4483,143.07,0.809,Sandstone,1
15/9-13,1215.01,41.6,1.919,0.4681,142.32,0.782,Sandstone,1
15/9-13,1215.16,42.77,1.909,0.4704,141.53,0.768,Sandstone,1
15/9-13,1215.31,41.34,1.903,0.4741,140.77,0.764,Sandstone,1
15/9-13,1215.46,42.1,1.9034,0.4668,140.03,0.78,Sandstone,1
15/9-13,1215.62,39.0,1.9071,0.4666,126.39,0.822,Sandstone,1
15/9-13,1215.77,41.51,1.9127,0.4964,108.39,0.857,Sandstone,1
15/9-13,1215.92,36.42,1.8947,0.4671,106.62,0.882,Sandstone,1
15/9-13,1216.07,38.21,1.8479,0.4113,105.74,0.907,Sandstone,1
15/9-13,1216.22,36.07,1.805,0.3375,113.53,0.928,Sandstone,1
15/9-13,1216.38,38.31,1.808,0.3432,130.23,0.953,Sandstone,1
15/9-13,1216.53,35.88,1.8493,0.4077,139.13,0.992,Sandstone,1
15/9-13,1216.68,34.52,1.882,0.4376,141.29,0.986,Sandstone,1
15/9-13,1216.83,31.06,1.8735,0.468,142.22,0.924,Sandstone,1
15/9-13,1216.98,33.22,1.8493,0.4831,135.0,0.868,Sandstone,1
15/9-13,1217.14,34.53,1.8389,0.4991,129.14,0.819,Sandstone,1
15/9-13,1217.29,35.25,1.8379,0.5172,138.98,0.774,Sandstone,1
15/9-13,1217.44,34.17,1.8425,0.4996,143.61,0.747,Sandstone,1
15/9-13,1217.59,29.62,1.8453,0.4816,143.58,0.732,Sandstone,1
15/9-13,1217.74,30.41,1.8439,0.4422,143.37,0.724,Sandstone,1
15/9-13,1217.9,31.09,1.8394,0.4535,143.34,0.72,Sandstone,1
15/9-13,1218.05,33.67,1.8319,0.475,142.94,0.72,Sandstone,1
